2024/01/02 18:31:12.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:15.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:18.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:21.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:24.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:27.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:30.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:33.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:36.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:39.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:42.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:45.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:48.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:51.136 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:54.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:57.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:00.131 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:03.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:06.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:09.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:12.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:15.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:18.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:21.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:24.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:27.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:30.131 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:33.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:36.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:39.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:42.128 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:45.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:48.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:51.131 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:54.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:32:57.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:00.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:03.134 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:06.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:09.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:12.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:15.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:18.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:21.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:24.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:27.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:30.134 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:33.136 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:36.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:39.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:42.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:45.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:48.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:51.134 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:54.133 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:33:57.133 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:00.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:03.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:06.131 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:09.134 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:12.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:15.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:18.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:21.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
